plate,wellNumber,chamber,Location,date,crab,crabID,crabSimple,crabLabel
W6_91,1,CH06,CH06_W6_91_1,2021_06_17,W_8,CH06_W_8_2021_06_17,W,W
W6_91,2,CH06,CH06_W6_91_2,2021_06_17,W_6,CH06_W_6_2021_06_17,W,W
W6_91,3,CH06,CH06_W6_91_3,2021_06_17,W_22,CH06_W_22_2021_06_17,W,W
W6_91,4,CH06,CH06_W6_91_4,2021_06_17,W_17,CH06_W_17_2021_06_17,W,W
W6_91,5,CH06,CH06_W6_91_5,2021_06_17,W_5,CH06_W_5_2021_06_17,W,W
W6_91,6,CH06,CH06_W6_91_6,2021_06_17,W_24,CH06_W_24_2021_06_17,W,W
W6_130,1,CH06,CH06_W6_130_1,2021_06_17,W_7,CH06_W_7_2021_06_17,W,W
W6_130,2,CH06,CH06_W6_130_2,2021_06_17,W_13,CH06_W_13_2021_06_17,W,W
W6_130,3,CH06,CH06_W6_130_3,2021_06_17,W_15,CH06_W_15_2021_06_17,W,W
W6_130,4,CH06,CH06_W6_130_4,2021_06_17,W_3,CH06_W_3_2021_06_17,W,W
W6_130,5,CH06,CH06_W6_130_5,2021_06_17,W_21,CH06_W_21_2021_06_17,W,W
W6_130,6,CH06,CH06_W6_130_6,2021_06_17,W_16,CH06_W_16_2021_06_17,W,W
W6_64,1,CH06,CH06_W6_64_1,2021_06_17,W_2,CH06_W_2_2021_06_17,W,W
W6_64,2,CH06,CH06_W6_64_2,2021_06_17,W_14,CH06_W_14_2021_06_17,W,W
W6_64,3,CH06,CH06_W6_64_3,2021_06_17,W_23,CH06_W_23_2021_06_17,W,W
W6_64,4,CH06,CH06_W6_64_4,2021_06_17,W_1,CH06_W_1_2021_06_17,W,W
W6_64,5,CH06,CH06_W6_64_5,2021_06_17,W_10,CH06_W_10_2021_06_17,W,W
W6_64,6,CH06,CH06_W6_64_6,2021_06_17,W_9,CH06_W_9_2021_06_17,W,W
W6_73,1,CH06,CH06_W6_73_1,2021_06_17,W_18,CH06_W_18_2021_06_17,W,W
W6_73,2,CH06,CH06_W6_73_2,2021_06_17,W_12,CH06_W_12_2021_06_17,W,W
W6_73,3,CH06,CH06_W6_73_3,2021_06_17,W_4,CH06_W_4_2021_06_17,W,W
W6_73,4,CH06,CH06_W6_73_4,2021_06_17,W_11,CH06_W_11_2021_06_17,W,W
W6_73,5,CH06,CH06_W6_73_5,2021_06_17,W_20,CH06_W_20_2021_06_17,W,W
