plate,wellNumber,crab,crabID,crabSimple,crabLabel,chamber,Location,date
W6_92,1,W_16,CH07_W_16_2021_06_17,W,W,CH07,CH07_W6_92_1,2021_06_17
W6_92,2,W_15,CH07_W_15_2021_06_17,W,W,CH07,CH07_W6_92_2,2021_06_17
W6_92,3,W_2,CH07_W_2_2021_06_17,W,W,CH07,CH07_W6_92_3,2021_06_17
W6_92,4,W_1,CH07_W_1_2021_06_17,W,W,CH07,CH07_W6_92_4,2021_06_17
W6_92,5,W_10,CH07_W_10_2021_06_17,W,W,CH07,CH07_W6_92_5,2021_06_17
W6_92,6,W_17,CH07_W_17_2021_06_17,W,W,CH07,CH07_W6_92_6,2021_06_17
W6_93,1,W_8,CH07_W_8_2021_06_17,W,W,CH07,CH07_W6_93_1,2021_06_17
W6_93,2,W_9,CH07_W_9_2021_06_17,W,W,CH07,CH07_W6_93_2,2021_06_17
W6_93,3,W_11,CH07_W_11_2021_06_17,W,W,CH07,CH07_W6_93_3,2021_06_17
W6_93,4,W_19,CH07_W_19_2021_06_17,W,W,CH07,CH07_W6_93_4,2021_06_17
W6_93,5,W_22,CH07_W_22_2021_06_17,W,W,CH07,CH07_W6_93_5,2021_06_17
W6_93,6,W_14,CH07_W_14_2021_06_17,W,W,CH07,CH07_W6_93_6,2021_06_17
W6_109,1,W_12,CH07_W_12_2021_06_17,W,W,CH07,CH07_W6_109_1,2021_06_17
W6_109,2,W_4,CH07_W_4_2021_06_17,W,W,CH07,CH07_W6_109_2,2021_06_17
W6_109,3,W_20,CH07_W_20_2021_06_17,W,W,CH07,CH07_W6_109_3,2021_06_17
W6_109,4,W_5,CH07_W_5_2021_06_17,W,W,CH07,CH07_W6_109_4,2021_06_17
W6_109,5,W_18,CH07_W_18_2021_06_17,W,W,CH07,CH07_W6_109_5,2021_06_17
W6_109,6,W_13,CH07_W_13_2021_06_17,W,W,CH07,CH07_W6_109_6,2021_06_17
W6_121,1,W_23,CH07_W_23_2021_06_17,W,W,CH07,CH07_W6_121_1,2021_06_17
W6_121,2,W_7,CH07_W_7_2021_06_17,W,W,CH07,CH07_W6_121_2,2021_06_17
W6_121,3,W_6,CH07_W_6_2021_06_17,W,W,CH07,CH07_W6_121_3,2021_06_17
W6_121,4,W_21,CH07_W_21_2021_06_17,W,W,CH07,CH07_W6_121_4,2021_06_17
W6_121,5,W_3,CH07_W_3_2021_06_17,W,W,CH07,CH07_W6_121_5,2021_06_17
