*metacsv_format_file*,,,,,,
dataset_name,Collection Log from Rosairio Beach 09JUN21- inital introduction to lab. No chamber exposure history,,,,,
source_file_name,"dgn_zoe_exoskel_carechart, 01_CrabWildLarveaCollectandRearfor Exo2021 / 01_Data(all_types) / raw_Data / Round 1: Wild_Zoea_SwinomishTraps_6.9.2021 / Rosario Beach Zoea 6.9.21",,,,,
project_name,Crab Wild Larvea Collection and Rear for Exo2021,,,,,
description,Collection Log from Possession Sound 16JUN21 during first Krill Hunt attempt,,,,,
keywords,"Cancer magister, Larvea, Crab, Dungeness, chamber, Ocean Acdification",,,,,
data_source,wild_DGN_meg(krill hunt),,,,,
r_script_source,N/A,,,,,
file_creation_date,16Jun2021,,,,,
last_modified_date,8/18/21,,,,,
version_number,version 01,,,,,
version_history,8/18/21 last modified,,,,,
editor_name_history,wild_DGN_meg(krill hunt)_(Update08.18.2021)_version01,,,,,
data_collection_start_date,14Jun2021,,,,,
data_collection_end_date,14Jun2021,,,,,
data_collection_location,"47.938404, -122.323052",,,,,
species,Cancer magister,,,,,
life_stage,megalopea,,,,,
data_entered_by,"Danielle Perez, Danielle.Perez@noaa.gov, Michael Maher, Michael.Maher@noaa.gov, Kate Rovinski, kate.rovinski@noaa.gov",,,,,
data_contributor,"Danielle Perez, Danielle.Perez@noaa.gov, Michael Maher, Michael.Maher@noaa.gov, Kate Rovinski, kate.rovinski@noaa.gov",,,,,
data_owner,"Paul McElhany, Shallin Busch",,,,,
institution,"Paul McElhany, paul.mcelhany@noaa.gov NWFSC Science Center",,,,,
data_point_of_contact,"Danielle Perez, Danielle.Perez@noaa.gov,",,,,,
data_POC_email,"Danielle Perez, Danielle.Perez@noaa.gov,",,,,,
archive_link,https://drive.google.com/drive/folders/112_2mRAjYG05eqg6LOzmvnvimU1j5nHS?usp=sharing,,,,,
how_to_cite,Acknowledgements that need to be included in any use of the data.,,,,,
acknowledgements,Swinomish Tribe,,,,,
related_datasets,https://drive.google.com/drive/folders/112_2mRAjYG05eqg6LOzmvnvimU1j5nHS?usp=sharing,,,,,
***,,,,,,
crabID,startLoc,By,ObservationCodes,StartDate,EndDate,ObservationNotes
unique expression to descript chamber and wellplate number,unique alpha numeric(wellplatenumber and well location),observerInitials,"""D""=Dead",6/16/2021,7/14/2021,water change (AQ-/sW 6/22 On 2021.06.28)
,,,"""M""=Molt",,,Another water change and artemia feed on 6/30_Entered_(2021.06.30)
,,,"""L""=Lost",,,(2021.07.06) CH06_W6_73 all dead or removed_Entered_(2021.07.06)
,,,"""R""=Removed",,,2021.07.12 water change_Entered_(2021.07.12)
,,,"""Not checked""",,,2021.07.13 water change &  feed_Entered_(2021.07.13)
,,,"""meg"" = still megalopea",,,2021.07.14 Project Termination -all remaining crabs preserved_Entered_(2021.07.14)
,,,"""J"" = juvenile ",,,"molt not preserved, fell apart_Entered_(2021.06.23)"
,,,"""N/A"" = animal removed or died already, no change day to day ",,,
,,,"""M, R"" = Molted and removed- preserved ",,,
,,,"""Molt, R-(molt dissolved)"" = instar preserved, molting recorded. Not meg molt carapace preserved",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
