"meg = Megalopea, D= dead, R= removed, Mark if EtOH or neg -80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,
location_ID,crabID ,startLoc,By,7/8,By,7/9,By,7/10,By,7/11,By,7/12,By,7/13,By,7/14,By,7/15,By,7/16,By,7/17,By,7/18,By,7/19,By,7/20,By,7/21,By,7/22,By,7/23,Notes,
CornetBay,CH06_W6_CRN_wld_01,W1,kmr,meg,mtm,meg,,weekend,,weekend,kmr,"wc,meg",kmr,meg,kmr,meg,mtm,meg,mtm,meg,weekend,,weekend,,DP,meg,mtm,meg,kmr,meg,mtm,meg,kmr ,R,WC= water change,
,CH06_W6_CRN_wld_01,W2,,meg,,meg,,weekend,,weekend,,J1_frozen, ,N/A,,N/A,,N/A,,N/A,weekend,,weekend,,,N/A,,N/A,,N/A,,N/A,,N/A,2021.07.13 all fed,
,CH06_W6_CRN_wld_01,W3,,meg,,meg,,weekend,,weekend,,"wc, meg", ,meg,,meg,,meg,,J1_EtOH,weekend,,weekend,,,N/A,,N/A,,N/A,,N/A,,N/A,2021.07.14 WC,
,CH06_W6_CRN_wld_01,W4,,meg,,meg,,weekend,,weekend,,"wc, meg", ,meg,,J1_EtOH, ,N/A,,N/A,weekend,,weekend,,,N/A,,N/A,,N/A,,N/A,,N/A,2021.07.19 WC & fed,
,CH06_W6_CRN_wld_01,W5,,meg,,meg,,weekend,,weekend,,"wc, meg", ,meg,,meg,,meg,,J1_frozen,weekend,,weekend,,,N/A,,N/A,,N/A,,N/A,,N/A,,
,CH06_W6_CRN_wld_01,W6,,meg,,meg,,weekend,,weekend,,D,,N/A,,N/A,,N/A,,N/A,weekend,,weekend,,,N/A,,N/A,,N/A,,N/A,,N/A,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CH06_W6_CRN_wld_02,W1,,meg,,meg,,weekend,,weekend,kmr,"wc, meg",kmr,meg,kmr,meg,,meg,,meg,weekend,,weekend,,DP,J1_frozen,,N/A,,N/A,,N/A,kmr ,N/A,,
,CH06_W6_CRN_wld_02,W2,,meg,,meg,,weekend,,weekend,,"wc, meg", ,meg,,meg,,meg,,meg,weekend,,weekend,,,J1_EtOH,,N/A,,N/A,,N/A,,N/A,,
,CH06_W6_CRN_wld_02,W3,,meg,,meg,,weekend,,weekend,,"wc, meg", ,meg,,meg,,meg,,meg,weekend,,weekend,,,meg,,meg,,meg,,meg,,R,,
,CH06_W6_CRN_wld_02,W4,,meg,,meg,,weekend,,weekend,,"wc, meg", ,meg,,meg,,meg,,meg,weekend,,weekend,,,meg,,meg,,meg,,meg,,R,,
,CH06_W6_CRN_wld_02,W5,,meg,,meg,,weekend,,weekend,,"wc, meg", ,meg,,meg,,meg,,meg,weekend,,weekend,,,J1_frozen,,N/A,,N/A,,N/A,,N/A,,
