*metacsv_format_file*,,,,,,
dataset_name,Collection Log from Cornet Bay 08JUL21- inital introduction to lab. No chamber exposure history,,,,,
source_file_name,"dgn_zoe_exoskel_carechart, 01_CrabWildLarveaCollectandRearfor Exo2021 / 01_Data(all_types) / raw_Data / ",,,,,
project_name,Crab Wild Larvea Collection and Rear for Exo2021,,,,,
description,Collection Log from Swinomish Traps (Cornet Bay) 07/8/21,,,,,
keywords,"Cancer magister, Larvea, Crab, Dungeness, chamber, Ocean Acdification",,,,,
data_source,wild_DGN_meg(Swinomish traps 7.8.21),,,,,
r_script_source,N/A,,,,,
file_creation_date,08Jul2021,,,,,
last_modified_date,8/19/21,,,,,
version_number,version 01,,,,,
version_history,8/18/21 last modified,,,,,
editor_name_history,wild_DGN_meg(Swinomish traps 7.8.21)_(Update08.18.2021)_version01,,,,,
data_collection_start_date,08Jul2021,,,,,
data_collection_end_date,23Jul2021,,,,,
data_collection_location,"48.400656, -122.625165",,,,,
species,Cancer magister,,,,,
life_stage,megalopea,,,,,
data_entered_by,"Danielle Perez, Danielle.Perez@noaa.gov, Michael Maher, Michael.Maher@noaa.gov, Kate Rovinski, kate.rovinski@noaa.gov",,,,,
data_contributor,"Danielle Perez, Danielle.Perez@noaa.gov, Michael Maher, Michael.Maher@noaa.gov, Kate Rovinski, kate.rovinski@noaa.gov",,,,,
data_owner,"Paul McElhany, Shallin Busch",,,,,
institution,"Paul McElhany, paul.mcelhany@noaa.gov NWFSC Science Center",,,,,
data_point_of_contact,"Danielle Perez, Danielle.Perez@noaa.gov,",,,,,
data_POC_email,"Danielle Perez, Danielle.Perez@noaa.gov,",,,,,
archive_link,https://drive.google.com/drive/folders/112_2mRAjYG05eqg6LOzmvnvimU1j5nHS?usp=sharing,,,,,
how_to_cite,Acknowledgements that need to be included in any use of the data.,,,,,
acknowledgements,N/A,,,,,
related_datasets,https://drive.google.com/drive/folders/112_2mRAjYG05eqg6LOzmvnvimU1j5nHS?usp=sharing,,,,,
***,,,,,,
crabID,startLoc,By,ObservationCodes,StartDate,EndDate,ObservationNotes
unique expression to descript chamber and wellplate number,unique alpha numeric(wellplatenumber and well location),observerInitials,"""D""=Dead",7/8/2021,7/23/2021,2021.07.13_all fed
,W1,,"""M""=Molt",,,2021.07.14_WC
,W2,,"""L""=Lost",,,2021.07.19_WC & fed
,W3,,"""R""=Removed",,,
,W4,,"""Not checked""",,,
,W5,,"""meg"" = still megalopea",,,
